PERIOD,AUDITTYPE,STORECODE,DLRCODE,ITEMCODE,CATEGORY,MANUFACTURE,BRAND,ITEMDESC,MRP,PACKSIZE,PACKTYPE,COMMENTS,IMAGE
202312,2,116336450,11301020015,1703690509637,134,SARAS BEVERAGES PRIVATE LIMITED NEPAL,RED BULL,"RED BULL CAN 250ML ",110,250ML,CAN,,
202312,2,129058210,12201020023,1703690509637,134,SARAS BEVERAGES PRIVATE LIMITED NEPAL,RED BULL,"RED BULL CAN 250ML ",110,250ML,CAN,,
202312,2,129058210,12201020023,1702704252158,134,BHEDETAR SPARKLING WATER COMPANY PVT LTD NEPAL,JARUWA SPRING,"JARUWA SPRING PET 1LTR ",20,1LTR,PET,,
202312,2,128827091,12201020021,1703690509637,134,SARAS BEVERAGES PRIVATE LIMITED NEPAL,RED BULL,"RED BULL CAN 250ML ",110,250ML,CAN,,1703690509637-saras beverages private limited nepal-red bull#3.png
202312,2,128699486,12201020014,1702704252158,134,BHEDETAR SPARKLING WATER COMPANY PVT LTD NEPAL,JARUWA SPRING,"JARUWA SPRING PET 1LTR ",20,1LTR,PET,,1702704252158-bhedetar sparkling water company pvt ltd nepal-jaruwa spring#3.png
202312,2,132781485,31303020027,1703484115856,134,"SUJAL DAIRY PVT LTD ",RUSH,"RUSH BADAM DRINK CAN 180 ML ",110,180ML,CAN,Any other reason,1703484115856-sujal dairy pvt ltd -rush#3.png
202312,2,132792941,31303020011,1703484115856,134,"SUJAL DAIRY PVT LTD ",RUSH,"RUSH BADAM DRINK CAN 180 ML ",110,180ML,CAN,,1703484115856-sujal dairy pvt ltd -rush#3.png
202312,2,132848528,31303020029,1703484115856,134,"SUJAL DAIRY PVT LTD ",RUSH,"RUSH BADAM DRINK CAN 180 ML ",100,180ML,CAN,Any other reason,1703484115856-sujal dairy pvt ltd -rush#3.png
202312,2,132803597,31303020004,1703484115856,134,"SUJAL DAIRY PVT LTD ",RUSH,"RUSH BADAM DRINK CAN 180 ML ",110,180ML,CAN,,1703484115856-sujal dairy pvt ltd -rush#3.png
202312,2,132920729,31303020012,1703487499413,134,"SARAS BEVERAGE PRIVATE LIMITED NEPAL ",RED BULL,RED BULL-CAN 250ML,110,250ML,CAN,,1703487499413-saras beverage private limited nepal -red bull#3.png
202312,2,111504940,12101020023,1703398151435,134,PEPSICO INDIA-INDIA,STING ENERGY BLUE CURRENT,"STING ENERGY BLUE CURRENT ",32,250 ML.,PBT,,1703398151435-pepsico india-india-sting energy blue current#3.png
202312,2,123947434,21301020036,1702883942360,134,SALAMBHU FOOD AND BEVERAGE P.LTD,AQUA SUNKAKHARI,AQUA SUNAKHARI\1000\ML,20,1000 ML,PET,Invoices not available,1702883942360-salambhu food and beverage p-ltd-aqua sunkakhari#3.png
202312,2,128189766,31101020097,1703063006122,118,SAPPE PUBLIC COMPANY LTD-THAILAND,MOGU MOGU,MOGU MOGU-ORANGE PBT 320 ML,150,320ML,PBT,,1703063006122-sappe public company ltd-thailand-mogu mogu#3.png
202312,2,128189766,31101020097,1703063422314,118,SAPPE PUBLIC COMPANY LTD-THAILAND,MOGU MOGU,MOGU MOGU-MANGO PBT 320ML,150,320 ML,PBT,,1703063422314-sappe public company ltd-thailand-mogu mogu#3.png
202312,2,113395617,21103020006,1702803743834,134,SALAMBHU FOOD AND BEVERAGE PVT. LTD,AQUA SUNAKHARI,AQUA SUNAKHARI/PBT/1LTR,20,1LTR,PBT,,1702803743834-salambhu food and beverage pvt- ltd-aqua sunakhari#3.png
202312,2,113599066,21103020023,1702799816701,134,GANESH HIMAL KHANEPANI PRIVATE LIMITED,AQUA MOON,AQUA MOON/JAR/19LTR,40,19LTR,JAR,,1702799816701-ganesh himal khanepani private limited-aqua moon#3.png
202312,2,113563488,21103020014,1702793288313,134,DANFE MINERAL WATER P LTD-NPL,AQUA COOL,AQUA COOL/JAR/19000LTR,40,19LTR,JAR,,
202312,2,114624094,21103020024,1702797429836,134,QUALITY KHANEPANI PVT LTD-NPL,AQUA NIRMAL,AQUA NIRMAL/JAR/19LTR,40,19LTR,JAR,,1702797429836-quality khanepani pvt ltd-npl-aqua nirmal#3.png
202312,2,113630562,21103020033,1702793288313,134,DANFE MINERAL WATER P LTD-NPL,AQUA COOL,AQUA COOL/JAR/19000LTR,40,19LTR,JAR,,
202312,2,114638625,21103020029,1702793790731,134,DABUR NEPAL LTD.-NEPAL,REAL FRUIT POWER,REAL FRUIT POWER/TPK/1000ML/REAL180ML FREE,290,1000ML,TPK,,1702793790731-dabur nepal ltd--nepal-real fruit power#3.png
202312,2,114638625,21103020029,1702793288313,134,DANFE MINERAL WATER P LTD-NPL,AQUA COOL,AQUA COOL/JAR/19000LTR,50,19LTR,JAR,,1702793288313-danfe mineral water p ltd-npl-aqua cool#3.png
202312,2,111636895,21103020034,1702625740430,134,"CAVINKARE PRIVATE LIMITED ","CAVINS ",CAVINS/VANILLA MILKSHAKE/TPK/RS70,80,170ML,TPK,,1702625740430-cavinkare private limited -cavins #3.png
202312,2,122591032,31101020032,1702449532430,134,MARUTI DAIRY PRODUCT-NEPAL,GOPALA,GOPALA FRESHO PINEAPPLE\250ML\CAN\RS:100\MARUTI DAIRY PRODUCT PVT.LTD NEPAL,100,250 ML,CAN,,1702449532430-maruti dairy product-nepal-gopala#3.png
202312,2,122591032,31101020032,1702449618174,134,MARUTI DAIRY PRODUCT-NEPAL,GOPALA,GOPALA FRESHO MIXED FRUIT\250ML\CAN\RS:100\MARUTI PRODUCT PVT.LTD NEPAL,100,250 ML,CAN,New SKU,1702449618174-maruti dairy product-nepal-gopala#3.png
202312,2,111889963,12101020036,1702280997817,134,HECTOR BEVERAGE PVT. LTD. INDIA,PAPER BOAT SWING LUSH LYCHEE,PAPER BOAT SWING LUSH LYCHEE,16,125 ML.,PBT,New Category,1702280997817-hector beverage pvt- ltd- india-paper boat swing lush lychee#3.png
202311,2,112116438,21102020060,1701324579472,134,DABUR NEPAL LTD.-NEPAL,REAL FRUIT POWER,REAL FRUIT POWER/MIXED FRUIT/FREE 180 ML REAL WORTH RS 30,290,1000ML,TPK,,1701324579472-dabur nepal ltd--nepal-real fruit power#3.png
202311,2,122160674,12303020021,1700801745964,118,SHAMBHAVI FOOD AND BEVERAGES PVT. LTD,MAINTAIN DEW,MAINTAIN DEW PBT 1000ML,120,1000ML,PBT,,1700801745964-shambhavi food and beverages pvt- ltd-maintain dew#3.png
202311,2,123490448,31101020011,1700549616408,134,THE BINDESHWORI DRK WTR&BVG-NP,ALL IN ONE,ALL IN ONE PBT 1 LTR,25,1000ML,PBT,,1700549616408-the bindeshwori drk wtr-bvg-np-all in one#3.png
202311,2,124303166,21301020032,1700372370852,134,A ONE POLYMERS & BEVERAGE P LTD,AQUA RAJDHANI,AQUA RAJDHANI\1000\ML,20,1000 ML,PET,,1700372370852-a one polymers - beverage p ltd-aqua rajdhani#3.png
202310,2,132848528,31303020029,1697696629275,134,LIFE FOOD & BEVERAGE-NEPAL,KI BU CLASSIC,KI BU-CLASSIC CAN 250 ML,120,250ML,CAN,,1697696629275-life food - beverage-nepal-ki bu classic#3.png
202310,2,128757050,12201020010,1696921559996,118,SINGAPORE BEVERAGE-NEPAL,NIMBU PANI,NIMBU PANI-LEMON PET 600ML,85,600ML,PET,Sales Deviation is OK,1696921559996-singapore beverage-nepal-nimbu pani#3.png
202310,2,128757050,12201020010,1696921982357,118,SINGAPORE BEVERAGE-NEPAL,NIMBU PANI,NIMBU PANI-LEMON PET 2.25LTR,260,2.25LTR,PET,,1696921982357-singapore beverage-nepal-nimbu pani#3.png
202310,2,111206412,21102020036,1697349961368,118,MANAKAMANA FRUIT & BEVERAGE-NP,NIMBU FRESH,NIMBU FRESH/,80,500ML,PBT,,1697349961368-manakamana fruit - beverage-np-nimbu fresh#3.png
202310,2,111206412,21102020036,1697349680869,118,MANAKAMANA FRUIT & BEVERAGE-NP,SHIKANJI MASALA,SHIKANJI MASALA,50,250ML,PBT,,1697349680869-manakamana fruit - beverage-np-shikanji masala#3.png
202310,2,111206412,21102020036,1697349833637,118,MANAKAMANA FRUIT & BEVERAGE-NP,PEACH MASTI,PEACH MASTI,50,250ML,PBT,,1697349833637-manakamana fruit - beverage-np-peach masti#3.png
202310,2,128702441,12201020028,1697189732477,134,SAPPE PUBLIC COMPANY LIMITED THAILAND,MOGU MOGU,MOGU MOGU PEACH FLAVORED DRINK PET 320ML,150,320ML,PET,,1697189732477-sappe public company limited thailand-mogu mogu#3.png
202310,2,128702441,12201020028,1697190407963,134,SAPPE PUBLIC COMPANY LIMITED THAILAND,MOGU MOGU,MOGU MOGU LYCHEE FLAVORED DRINK PET 320ML,150,320ML,PET,,1697190407963-sappe public company limited thailand-mogu mogu#3.png
202310,2,128702441,12201020028,1697190261438,134,SAPPE PUBLIC COMPANY LIMITED THAILAND,MOGU MOGU,MOGU MOGU BLACKCURRANT FLAVORED DRINK PET 320ML,150,320ML,PET,,1697190261438-sappe public company limited thailand-mogu mogu#3.png
202310,2,128702441,12201020028,1697190090497,134,SAPPE PUBLIC COMPANY LIMITED THAILAND,MOGU MOGU,MOGU MOGU YOGURT FLAVORED DRINK PET 320ML,150,320ML,PET,,1697190090497-sappe public company limited thailand-mogu mogu#3.png
202310,2,121838548,31101020068,1697189657881,134,LIFE FOOD & BEVERAGE-NEPAL,KI BU,KI BU CLASSIC ENRERGY DRINK\250ML\CAN\RS:120\LIFE FOOD&BEVRAGE PVT.LTD NEPAL,120,"250 ML ",CAN,,1697189657881-life food - beverage-nepal-ki bu#3.png
202310,2,124306089,21301020031,1696493583267,134,DUGAR FOOD & BEVERAGE-NEPAL,DOOIT GUAVA,DOOIT GUAVA\200\ML,30,200ML,,New SKU,
202310,2,113389746,52204020004,1696923515130,134,LS WATER & BEVERAGE-NEPAL,PRAN POWER,PRAN POWER/ENERGY DRINK/250ML/CAN,120,"250ML ",CAN,,1696923515130-ls water - beverage-nepal-pran power#3.png
202310,2,128846077,22101020019,1696734410850,134,ASP NATURAL RESOURCES PVT LTD-NEPAL,DROP,"DROP\1000ML\PBT\MINERAL WATER ",25,1000ML,PBT,Sales Deviation is OK,1696734410850-asp natural resources pvt ltd-nepal-drop#3.png
202310,2,124303166,21301020032,1696493583267,134,DUGAR FOOD & BEVERAGE-NEPAL,DOOIT GUAVA,DOOIT GUAVA\200\ML,30,200ML,,Sales Deviation is OK,1696493583267-dugar food - beverage-nepal-dooit guava#3.png
202310,3,1220100003,12201030162,1696322580499,125,NAVYUBAK SURTI FACTORY NEPAL,JHUM JHUM SUPER POWER,"JHUM JHUM SUPER POWER PPH 8G ",20,8G,PPH,,1696322580499-navyubak surti factory nepal-jhum jhum super power#3.png
202309,2,212581910166,21258020009,1695539752367,134,AQUA JUGAL,"AQUA JUGAL ",AQUA JUGAL DRINKING WATER\1000\ML,20,1000ML,PET,New SKU,
202309,2,212581910102,21258020002,1695539752367,134,AQUA JUGAL,"AQUA JUGAL ",AQUA JUGAL DRINKING WATER\1000\ML,20,1000ML,PET,New SKU,1695539752367-aqua jugal-aqua jugal #3.png
202309,2,128699486,12201020014,1694425377025,134,SINGAPORE BEVERAGE-NEPAL,FRUIT GEMS,FRUIT GEMS BLACK CURRANT DRINK PET 320ML,140,320ML,PET,,1694425377025-singapore beverage-nepal-fruit gems#3.png
202309,2,122002412,12303020025,1694323975861,134,PRAKASH BEVERAGE-NEPAL,LIFE CARE,LIFE CARE-PET 500ML,15,500ML,PBT,Sales Deviation is OK,1694323975861-prakash beverage-nepal-life care#3.png
202309,2,122761663,31101020092,1694249559082,134,POKHARA NATURAL FOOD & BEVERAGE-NP,BRILLIANCE,BRILLIANCE WATER\PET\1000ML\RS:25\POKHARA NATURAL FOOD& BEVRAGE PVT.LTD NEPAL,25,1000ML,PBT,Sales Deviation is OK,1694249559082-pokhara natural food - beverage-np-brilliance#3.png
202309,2,125442842,31101020103,1694155646747,118,VENTURA BOTTLERS PVT LTD-NEPAL,RC COLA,RC COLA-COLA PET 2.25L,260,2.25L,PBT,,1694155646747-ventura bottlers pvt ltd-nepal-rc cola#3.png
202308,2,116304492,11301020014,1693193351088,134,LIFE FOOD & BEVERAGE-NEPAL,REBOOST,REBOOST NON CARBONATED ENERGY DRINK CAN 250ML,120,250ML,CAN,Sales Deviation is OK,
202308,2,116313561,11301020007,1693192643948,118,PATHIBHARA FOOD & PCKNG UDY-NP,MOTION DEW,"MOTION DEW PET 600ML ",80,600ML,PET,,1693192643948-pathibhara food - pckng udy-np-motion dew#3.png
202308,2,116313561,11301020007,1693193351088,134,LIFE FOOD & BEVERAGE-NEPAL,REBOOST,REBOOST NON CARBONATED ENERGY DRINK CAN 250ML,120,250ML,CAN,,1693193351088-life food - beverage-nepal-reboost#3.png
202308,3,1023173737366,21104030039,1693031499700,,SURYA NEPAL PVT LTD - NEPAL,"DUAL ",SURYA DUAL,320,20,MEDIUM,Sales Deviation is OK,1693031499700-surya nepal pvt ltd - nepal-dual #3.png
202308,2,117158265,11302020009,1693033865829,134,DHANKUTA AGRO TOURISM & FUN VALLEY PVT LTD NEPAL,DHANKUTELI MULKO,DHANKUTELI MULKO PET 750ML +100ML FREE,25,750ML,PET,Sales Deviation is OK,
202308,2,117186046,11302020003,1693033865829,134,DHANKUTA AGRO TOURISM & FUN VALLEY PVT LTD NEPAL,DHANKUTELI MULKO,DHANKUTELI MULKO PET 750ML +100ML FREE,25,750ML,PET,,
202308,2,116312313,11302020008,1693033865829,134,DHANKUTA AGRO TOURISM & FUN VALLEY PVT LTD NEPAL,DHANKUTELI MULKO,DHANKUTELI MULKO PET 750ML +100ML FREE,25,750ML,PET,Sales Deviation is OK,1693033865829-dhankuta agro tourism - fun valley pvt ltd nepal-dhankuteli mulko#3.png
202308,2,231732610191,23173020010,1691472506125,118,PARLE AGRO PVT LTD-INDIA,APPY FIZZ APPLE,"APPY FIZZ\250ML\PBT\APPLE FLAVOUR ",29,250ML,PBT,Sales Deviation is OK,
202308,3,3110102044,31101030579,1691997417207,125,PUJA TOBACCO PACKING INDUSTRIES,TAZA,TAZA SUPER POWER PPH 8GM,20,8 GM,PPH,,1691997417207-puja tobacco packing industries-taza#3.png
202308,3,3110105419,31101030580,1691997417207,125,PUJA TOBACCO PACKING INDUSTRIES,TAZA,TAZA SUPER POWER PPH 8GM,20,8 GM,PPH,,1691997417207-puja tobacco packing industries-taza#3.png
202308,2,130911248,31101020091,1692258062571,134,POKHARA NATURAL FOOD & BEVERAGE-NP,GLAZE,GLAZ PBT 500ML,20,500ML,PBT,,1692258062571-pokhara natural food - beverage-np-glaze#3.png
202308,3,1220100019,12201030025,1691569788208,105,GORKHA LAHARI PVT.LTD.- NEPAL,ACTION LIGHTS,ACTION LIGHTS,115,20NOS,HL,,1691569788208-gorkha lahari pvt-ltd-- nepal-action lights#3.png
202308,3,3110104258,31101030546,1691997417207,125,PUJA TOBACCO PACKING INDUSTRIES,TAZA,TAZA SUPER POWER PPH 8GM,20,8 GM,PPH,,1691997417207-puja tobacco packing industries-taza#3.png
202308,2,125080524,21301020034,1691737659365,118,SINGAPORE BEVERAGE-NEPAL,LEMONZAAAAA NIMBU PANI,LEMONZAAAAA NIMBU PANI\600\ML,80,600ML,PET,New SKU,1691737659365-singapore beverage-nepal-lemonzaaaaa nimbu pani#3.png
202308,2,122330419,12303020004,1691658208686,134,OM PATHIBHARA FOOD & BEV-NP,OASIS JAL,OASIS JAL-PET 500ML,15,500ML,PET,Sales Deviation is OK,1691658208686-om pathibhara food - bev-np-oasis jal#3.png
202308,2,128827344,31101020050,1691645381753,134,CG FOODS- NEPAL,RIO KDS LUV,"RIO-ABC KDS LUV TPK 200ML ",40,200ML,TPK,,1691645381753-cg foods- nepal-rio kds luv#3.png
202308,2,124775456,21301020033,1691646071450,134,CG FOODS- NEPAL,RIO KIDS LUV,RIO KIDS LUV\200\ML,40,200 ML,TPK,New SKU,1691646071450-cg foods- nepal-rio kids luv#3.png
202308,2,130605665,52303020011,1691654171687,134,SITAZ FOOD & BEVERAGE INDUSTRY-NP,SITAZ BOOST,SITAZ BOOST/500ML/PBT/MANGO,80,"500ML ",PBT,,1691654171687-sitaz food - beverage industry-np-sitaz boost#3.png
202308,2,130605665,52303020011,1691654504868,134,LIFE FOOD & BEVERAGE-NEPAL,"REBOOST ",REBOOST/250ML/CAN/ENERGY DRINK,120,"250ML ",CAN,,1691654504868-life food - beverage-nepal-reboost #3.png
202308,2,129024634,22101020014,1691472506125,118,PARLE AGRO PVT LTD-INDIA,APPY FIZZ APPLE,"APPY FIZZ\250ML\PBT\APPLE FLAVOUR ",40,250ML,PBT,,1691472506125-parle agro pvt ltd-india-appy fizz apple#3.png
